p-b-101,早餐,卡啦雞腿堡,65,product_imgs/burger.png,香酥雞腿堡
p-b-102,早餐,豬肉堡,55,product_imgs/porkburger.png,經典豬肉漢堡
p-b-103,早餐,牛肉堡,70,product_imgs/beefburger.png,厚切牛肉排
p-b-104,早餐,原味蛋餅,35,product_imgs/eggroll.png,傳統古早味蛋餅
p-b-105,早餐,起司蛋餅,45,product_imgs/cheeseeggroll.png,濃郁起司蛋餅
p-b-106,早餐,玉米蛋餅,45,product_imgs/corneggroll.png,香甜玉米蛋餅
p-b-107,早餐,火腿吐司,40,product_imgs/toast.png,火腿蛋吐司
p-b-108,早餐,鮪魚吐司,50,product_imgs/tunatoast.png,鮪魚沙拉吐司
p-b-109,飲料,奶茶,25,product_imgs/milktea.png,香濃奶茶
p-b-110,飲料,紅茶,20,product_imgs/blacktea.png,古早味紅茶
