ord-20260506-221017,2026-05-06 22:10:17,340,customer-101
ord-20260506-221020,2026-05-06 22:10:20,170,customer-101
ord-20260513-140802,2026-05-13 14:08:02,640,customer-101
ord-20260513-140819,2026-05-13 14:08:19,300,customer-101
ord-20260513-143523,2026-05-13 14:35:23,840,customer-101
ord-20260525-202101,2026-05-25 20:21:01,560,customer-101
ord-20260525-210443,2026-05-25 21:04:43,340,customer-101
ord-20260525-213842,2026-05-25 21:38:42,200,customer-101
ord-20260525-221028,2026-05-25 22:10:28,785,customer-101
ord-20260525-222452,2026-05-25 22:24:52,245,customer-101
ord-20260623-220702,2026-06-23 22:07:02,265,customer-101
ord-20260623-221520,2026-06-23 22:15:20,65,customer-101
ord-20260623-221536,2026-06-23 22:15:36,195,customer-101
ord-20260623-222259,2026-06-23 22:22:59,200,customer-101
ord-20260623-222304,2026-06-23 22:23:04,200,customer-101
ord-20260623-222539,2026-06-23 22:25:39,200,customer-101
ord-20260623-222547,2026-06-23 22:25:47,375,customer-101
ord-20260623-222557,2026-06-23 22:25:57,930,customer-101
